id,originalLabel,correction
ILSVRC2012_val_00004293,856,-1
ILSVRC2012_val_00047951,929,"929,338"
ILSVRC2012_val_00020049,173,-1
ILSVRC2012_val_00008988,836,"836,453,837"
ILSVRC2012_val_00024425,409,892
ILSVRC2012_val_00006138,906,"834,836,837,650,906,819"
ILSVRC2012_val_00043650,975,"975,698"
ILSVRC2012_val_00035683,853,858
ILSVRC2012_val_00002089,664,"673,526,527,664,508"
ILSVRC2012_val_00031659,398,-1
ILSVRC2012_val_00032983,845,-1
ILSVRC2012_val_00032700,35,-1
ILSVRC2012_val_00020776,526,"453,526"
ILSVRC2012_val_00019222,279,258
ILSVRC2012_val_00039055,341,"341,342"
ILSVRC2012_val_00028123,830,"652,830,764,413"
ILSVRC2012_val_00011981,479,"479,660,511"
ILSVRC2012_val_00007324,909,"762,959"
ILSVRC2012_val_00035794,208,205
ILSVRC2012_val_00008479,357,150
ILSVRC2012_val_00025897,242,"242,243,805"
ILSVRC2012_val_00044743,186,187
ILSVRC2012_val_00002400,881,"579,881"
ILSVRC2012_val_00011760,454,"453,454"
ILSVRC2012_val_00015149,795,"970,795"
ILSVRC2012_val_00035607,445,"459,445"
ILSVRC2012_val_00019238,460,"976,977,978"
ILSVRC2012_val_00033208,457,515
ILSVRC2012_val_00042927,809,659
ILSVRC2012_val_00049425,385,"386,101"
ILSVRC2012_val_00039020,237,-1
ILSVRC2012_val_00040127,534,"534,729"
ILSVRC2012_val_00011790,969,-1
ILSVRC2012_val_00007901,485,"485,761"
ILSVRC2012_val_00026207,973,"393,108"
ILSVRC2012_val_00015289,511,"479,511"
ILSVRC2012_val_00026708,869,"568,824,869"
ILSVRC2012_val_00014728,582,-1
ILSVRC2012_val_00032140,796,"911,796"
ILSVRC2012_val_00045767,587,"677,587,783,784"
ILSVRC2012_val_00004198,953,"953,954"
ILSVRC2012_val_00020756,419,"419,741"
ILSVRC2012_val_00024042,834,"834,655,975,630"
ILSVRC2012_val_00014271,312,"311,312"
ILSVRC2012_val_00042143,976,"975,976"
ILSVRC2012_val_00019177,477,"587,784,477"
ILSVRC2012_val_00030257,360,150
ILSVRC2012_val_00031717,724,"724,536"
ILSVRC2012_val_00004996,174,261
ILSVRC2012_val_00015792,506,"506,421"
ILSVRC2012_val_00044252,419,"419,719"
ILSVRC2012_val_00027441,519,"519,907"
ILSVRC2012_val_00038055,436,"581,479,436,511"
ILSVRC2012_val_00018300,951,"950,951"
ILSVRC2012_val_00012362,655,"774,655"
ILSVRC2012_val_00045987,202,185
ILSVRC2012_val_00035787,485,-1
ILSVRC2012_val_00013483,522,-1
ILSVRC2012_val_00049255,695,"488,695"
ILSVRC2012_val_00035663,654,407
ILSVRC2012_val_00029142,579,-1
ILSVRC2012_val_00046709,58,"36,58"
ILSVRC2012_val_00000064,46,"40,46"
ILSVRC2012_val_00040381,253,151
ILSVRC2012_val_00020467,411,"443,411"
ILSVRC2012_val_00048823,964,"964,923"
ILSVRC2012_val_00039047,904,-1
ILSVRC2012_val_00002959,721,"559,721"
ILSVRC2012_val_00022368,501,"689,501"
ILSVRC2012_val_00009877,240,238
ILSVRC2012_val_00002831,577,-1
ILSVRC2012_val_00046603,962,"962,923"
ILSVRC2012_val_00009389,728,"728,545"
ILSVRC2012_val_00048649,77,-1
ILSVRC2012_val_00021357,166,162
ILSVRC2012_val_00026815,552,"552,903"
ILSVRC2012_val_00033371,599,"309,599"
ILSVRC2012_val_00007582,924,-1
ILSVRC2012_val_00012636,930,934
ILSVRC2012_val_00014756,541,"541,542"
ILSVRC2012_val_00045859,253,"253,846"
ILSVRC2012_val_00035598,40,"40,46"
ILSVRC2012_val_00043464,253,151
ILSVRC2012_val_00002430,504,"968,504"
ILSVRC2012_val_00013144,634,-1
ILSVRC2012_val_00003657,883,"883,725"
ILSVRC2012_val_00018399,876,"435,876"
ILSVRC2012_val_00002871,541,"457,541"
ILSVRC2012_val_00017934,619,"619,846"
ILSVRC2012_val_00044354,189,"207,208"
ILSVRC2012_val_00018607,439,"708,682,458,439"
ILSVRC2012_val_00009160,499,"809,943,499"
ILSVRC2012_val_00001928,374,-1
ILSVRC2012_val_00020534,541,"546,650,819,542"
ILSVRC2012_val_00048533,811,165
ILSVRC2012_val_00002682,836,"836,837,975"
ILSVRC2012_val_00033249,932,-1
ILSVRC2012_val_00025482,834,"906,834,630"
ILSVRC2012_val_00006051,437,"506,421"
ILSVRC2012_val_00003355,251,"212,251"
ILSVRC2012_val_00039970,536,"517,625"
ILSVRC2012_val_00027306,456,"456,970,445,638"
ILSVRC2012_val_00030093,257,"257,222"
ILSVRC2012_val_00007727,415,-1
ILSVRC2012_val_00020454,314,"312,314"
ILSVRC2012_val_00019828,446,-1
ILSVRC2012_val_00014670,809,659
ILSVRC2012_val_00026646,538,"538,698"
ILSVRC2012_val_00009189,242,"242,703"
ILSVRC2012_val_00031552,730,866
ILSVRC2012_val_00040727,272,269
ILSVRC2012_val_00009411,978,"977,978"
ILSVRC2012_val_00036844,243,254
ILSVRC2012_val_00025463,49,"49,50"
ILSVRC2012_val_00010808,211,"132,211"
ILSVRC2012_val_00035912,168,163
ILSVRC2012_val_00031077,273,"489,274"
ILSVRC2012_val_00012240,938,"938,923"
ILSVRC2012_val_00028561,638,"638,639"
ILSVRC2012_val_00007654,260,207
ILSVRC2012_val_00024628,705,874
ILSVRC2012_val_00003098,54,-1
ILSVRC2012_val_00004052,894,"453,894"
ILSVRC2012_val_00034323,803,"803,866"
ILSVRC2012_val_00020181,751,"751,479"
ILSVRC2012_val_00009028,596,"777,596,597,763"
ILSVRC2012_val_00042010,312,311
ILSVRC2012_val_00043121,482,"481,605"
ILSVRC2012_val_00048876,495,"532,495"
ILSVRC2012_val_00045498,997,947
ILSVRC2012_val_00049148,415,"868,415"
ILSVRC2012_val_00022899,718,821
ILSVRC2012_val_00035640,224,-1
ILSVRC2012_val_00043517,733,-1
ILSVRC2012_val_00016554,120,119
ILSVRC2012_val_00038893,856,866
ILSVRC2012_val_00000214,978,"977,978"
ILSVRC2012_val_00016120,337,333
ILSVRC2012_val_00031793,36,"35,36"
ILSVRC2012_val_00022251,547,"705,547"
ILSVRC2012_val_00049614,236,159
ILSVRC2012_val_00023172,725,-1
ILSVRC2012_val_00049660,867,757
ILSVRC2012_val_00047241,229,200
ILSVRC2012_val_00035907,421,"579,421"
ILSVRC2012_val_00019572,774,"774,655,825"
ILSVRC2012_val_00049439,663,-1
ILSVRC2012_val_00022987,400,"400,667"
ILSVRC2012_val_00044054,592,"478,592"
ILSVRC2012_val_00016663,541,"819,541"
ILSVRC2012_val_00036758,618,"968,618"
ILSVRC2012_val_00037804,161,-1
ILSVRC2012_val_00045954,795,"795,703"
ILSVRC2012_val_00020167,467,"467,341"
ILSVRC2012_val_00041966,639,"638,639"
ILSVRC2012_val_00007615,414,"414,478"
ILSVRC2012_val_00043429,810,"810,508"
ILSVRC2012_val_00001089,508,"681,810,620,531"
ILSVRC2012_val_00014388,454,"624,453,454"
ILSVRC2012_val_00016209,804,"896,804,794,861"
ILSVRC2012_val_00004526,743,-1
ILSVRC2012_val_00034883,599,-1
ILSVRC2012_val_00032120,157,152
ILSVRC2012_val_00036624,853,"448,853"
ILSVRC2012_val_00011946,664,"673,681,526,782,664,508"
ILSVRC2012_val_00030298,969,"969,692"
ILSVRC2012_val_00011624,278,277
ILSVRC2012_val_00024442,492,"492,750,831,414"
ILSVRC2012_val_00040281,954,"790,952,954"
ILSVRC2012_val_00002826,503,907
ILSVRC2012_val_00011048,831,"721,831"
ILSVRC2012_val_00044247,356,358
ILSVRC2012_val_00033556,662,"681,810,620,662"
ILSVRC2012_val_00019066,353,"353,343"
ILSVRC2012_val_00018385,597,"608,597,763"
ILSVRC2012_val_00003970,673,"673,526,508"
ILSVRC2012_val_00042783,46,40
ILSVRC2012_val_00021458,673,"673,526,527,662,664,508"
ILSVRC2012_val_00005289,406,497
ILSVRC2012_val_00039495,744,"744,657"
ILSVRC2012_val_00012282,538,497
ILSVRC2012_val_00005677,245,"195,697"
ILSVRC2012_val_00034827,143,-1
ILSVRC2012_val_00042515,744,"744,657,812"
ILSVRC2012_val_00015061,801,"801,445"
ILSVRC2012_val_00034718,398,"532,398"
ILSVRC2012_val_00003662,126,"116,126"
ILSVRC2012_val_00028169,878,"810,878"
ILSVRC2012_val_00047804,278,277
ILSVRC2012_val_00042459,538,"538,727"
ILSVRC2012_val_00017378,409,"409,892"
ILSVRC2012_val_00041304,725,899
ILSVRC2012_val_00026942,135,-1
ILSVRC2012_val_00023072,536,"670,628"
ILSVRC2012_val_00038500,177,170
ILSVRC2012_val_00038601,374,373
ILSVRC2012_val_00018147,895,908
ILSVRC2012_val_00028135,196,"196,198"
ILSVRC2012_val_00038078,66,-1
ILSVRC2012_val_00030624,357,252
ILSVRC2012_val_00019736,966,"966,572"
ILSVRC2012_val_00013671,445,"836,837,445"
ILSVRC2012_val_00043183,693,"472,693"
ILSVRC2012_val_00030337,406,"497,884,406"
ILSVRC2012_val_00003994,441,"440,441"
ILSVRC2012_val_00003724,634,"634,561"
ILSVRC2012_val_00001700,862,470
ILSVRC2012_val_00047630,306,"643,306"
ILSVRC2012_val_00016094,510,-1
ILSVRC2012_val_00013982,766,-1
ILSVRC2012_val_00008075,962,923
ILSVRC2012_val_00002947,469,959
ILSVRC2012_val_00012293,165,-1
ILSVRC2012_val_00005306,373,-1
ILSVRC2012_val_00022537,302,-1
ILSVRC2012_val_00028726,524,"524,461,958"
ILSVRC2012_val_00013165,750,"750,721,414"
ILSVRC2012_val_00018591,823,"617,823"
ILSVRC2012_val_00033631,514,"514,841,608,610,630,636"
ILSVRC2012_val_00013061,462,"315,462"
ILSVRC2012_val_00000400,419,-1
ILSVRC2012_val_00048896,549,692
ILSVRC2012_val_00004736,618,"809,923"
ILSVRC2012_val_00031639,984,-1
ILSVRC2012_val_00046022,972,"972,825"
ILSVRC2012_val_00030035,47,40
ILSVRC2012_val_00016490,99,-1
ILSVRC2012_val_00011472,664,"673,526,527,846,831,664,508"
ILSVRC2012_val_00031214,364,-1
ILSVRC2012_val_00002101,55,64
ILSVRC2012_val_00047001,356,359
ILSVRC2012_val_00030037,581,"581,479"
ILSVRC2012_val_00021615,909,"618,659,926"
ILSVRC2012_val_00019751,680,-1
ILSVRC2012_val_00047589,5,6
ILSVRC2012_val_00034483,710,-1
ILSVRC2012_val_00037952,817,"479,817"
ILSVRC2012_val_00026652,833,-1
ILSVRC2012_val_00002133,810,"810,878"
ILSVRC2012_val_00039816,810,"810,878"
ILSVRC2012_val_00031849,513,"513,439"
ILSVRC2012_val_00030715,312,"312,311"
ILSVRC2012_val_00026523,835,892
ILSVRC2012_val_00039622,158,-1
ILSVRC2012_val_00020824,305,"305,302"
ILSVRC2012_val_00042283,962,"962,532,923"
ILSVRC2012_val_00030251,837,"837,836,733"
ILSVRC2012_val_00011218,101,"385,386"
ILSVRC2012_val_00008623,110,"111,114"
ILSVRC2012_val_00012805,579,"579,881"
ILSVRC2012_val_00026038,942,923
ILSVRC2012_val_00041761,272,-1
ILSVRC2012_val_00020113,211,"750,211"
ILSVRC2012_val_00009489,689,"903,689,601"
ILSVRC2012_val_00002014,313,-1
ILSVRC2012_val_00000561,860,-1
ILSVRC2012_val_00023140,806,"770,806"
ILSVRC2012_val_00017688,590,"487,681,590"
ILSVRC2012_val_00021674,848,-1
ILSVRC2012_val_00040668,109,"109,973"
ILSVRC2012_val_00035095,256,-1
ILSVRC2012_val_00048886,509,-1
ILSVRC2012_val_00042392,922,921
ILSVRC2012_val_00028149,618,813
ILSVRC2012_val_00006848,203,"194,203"
ILSVRC2012_val_00014803,827,"544,827"
ILSVRC2012_val_00016474,451,860
ILSVRC2012_val_00022460,848,482
ILSVRC2012_val_00021777,256,-1
ILSVRC2012_val_00038066,876,"514,876,435"
ILSVRC2012_val_00010664,979,970
ILSVRC2012_val_00021773,271,269
ILSVRC2012_val_00028503,56,"65,56"
ILSVRC2012_val_00019779,556,-1
ILSVRC2012_val_00030551,594,"594,982"
ILSVRC2012_val_00030726,828,-1
ILSVRC2012_val_00020811,371,366
ILSVRC2012_val_00039984,631,711
ILSVRC2012_val_00044466,633,-1
ILSVRC2012_val_00033321,880,"518,880"
ILSVRC2012_val_00044961,548,"548,851"
ILSVRC2012_val_00013989,856,-1
ILSVRC2012_val_00036853,334,337
ILSVRC2012_val_00046570,325,"985,324"
ILSVRC2012_val_00018643,345,346
ILSVRC2012_val_00001414,220,"216,220"
ILSVRC2012_val_00043450,477,636
ILSVRC2012_val_00025036,913,724
ILSVRC2012_val_00023003,257,"257,249,222"
ILSVRC2012_val_00042910,878,"810,878"
ILSVRC2012_val_00014740,351,"352,351"
ILSVRC2012_val_00028861,58,-1
ILSVRC2012_val_00014628,519,738
ILSVRC2012_val_00030848,547,"705,547"
ILSVRC2012_val_00013750,353,"353,351"
ILSVRC2012_val_00029055,42,"38,26"
ILSVRC2012_val_00021669,925,"809,659,923"
ILSVRC2012_val_00002043,541,"541,542"
ILSVRC2012_val_00008143,872,"872,622,759"
ILSVRC2012_val_00037945,834,"869,742,526,655,630"
ILSVRC2012_val_00009797,869,"869,671"
ILSVRC2012_val_00047460,619,"619,846"
ILSVRC2012_val_00039218,408,"652,847,465,413"
ILSVRC2012_val_00037667,871,-1
ILSVRC2012_val_00042049,34,37
ILSVRC2012_val_00024526,960,-1
ILSVRC2012_val_00003414,824,"824,911"
ILSVRC2012_val_00046801,317,-1
ILSVRC2012_val_00018368,433,435
ILSVRC2012_val_00033398,638,"638,639"
ILSVRC2012_val_00000955,872,"872,622,759"
ILSVRC2012_val_00008876,281,"896,999,281,700"
ILSVRC2012_val_00001222,179,195
ILSVRC2012_val_00018422,337,"360,337,357"
ILSVRC2012_val_00026704,326,-1
ILSVRC2012_val_00011242,240,"240,241"
ILSVRC2012_val_00029541,664,782
ILSVRC2012_val_00035132,598,548
ILSVRC2012_val_00042521,585,-1
ILSVRC2012_val_00002281,831,"721,831"
ILSVRC2012_val_00007902,834,"834,630,637"
ILSVRC2012_val_00044184,908,"404,895"
ILSVRC2012_val_00045178,716,"912,716"
ILSVRC2012_val_00016785,557,"557,733"
ILSVRC2012_val_00022571,210,"211,210"
ILSVRC2012_val_00019441,615,-1
ILSVRC2012_val_00013526,428,"428,954"
ILSVRC2012_val_00024021,488,679
ILSVRC2012_val_00011819,755,"755,733"
ILSVRC2012_val_00017838,599,-1
ILSVRC2012_val_00032878,693,"472,693"
ILSVRC2012_val_00001991,529,"529,831"
ILSVRC2012_val_00015280,923,"532,923"
ILSVRC2012_val_00016285,788,"784,587,477,740"
ILSVRC2012_val_00000982,474,"514,464"
ILSVRC2012_val_00004268,887,501
ILSVRC2012_val_00045663,686,-1
ILSVRC2012_val_00010306,0,"0,133"
ILSVRC2012_val_00022990,257,-1
ILSVRC2012_val_00020924,765,"568,765"
ILSVRC2012_val_00035821,286,"500,286"
ILSVRC2012_val_00005083,298,384
ILSVRC2012_val_00042543,587,"677,587"
ILSVRC2012_val_00009398,684,-1
ILSVRC2012_val_00006533,227,158
ILSVRC2012_val_00011289,279,-1
ILSVRC2012_val_00018666,50,"49,50"
ILSVRC2012_val_00036993,742,713
ILSVRC2012_val_00007468,987,"987,998"
ILSVRC2012_val_00006935,176,-1
ILSVRC2012_val_00029141,700,"700,999"
